Tomy Pyūta mkII Bill Of Materials (Work in progress: 3/April/2026)
Part,Value,Marking,,,
R1,10Ω,Brown/black/black,,,
R2,82Ω,Grey/red/black,,,
R3,33Ω,Orange/orange/black,,,
R4,560Ω,Green/blue/brown,,,
R5,8.2Ω,Grey/red/gold,,,
R6,1KΩ,Brown/black/red,,,
R7,68KΩ,Blue/grey/orange,,,
R8,10KΩ,Brown/black/orange,,,
R9,10KΩ,Brown/black/orange,,,
R10,3.3KΩ,Orange/orange/red,,,
R11,10KΩ,Brown/black/orange,,,
R12,100KΩ,Brown/black/yellow,,,
R13,10KΩ,Brown/black/orange,,,
R14,1KΩ,Brown/black/red,,,
R15,1KΩ,Brown/black/red,,,
R16,10KΩ,Brown/black/orange,,,
R17,2.2KΩ,Red/red/red,,,
R18,2.2KΩ,Red/red/red,,,
R19,560Ω,Green/blue/brown,,,
R20,5.6KΩ,Green/blue/red,,,
R21,220Ω,Red/red/brown,,,
R22,330Ω,Orange/orange/brown,,,
R23,330Ω,Orange/orange/brown,,,
R24,10KΩ,Brown/black/orange,,,
R25,10KΩ,Brown/black/orange,,,
R26,10KΩ,Brown/black/orange,,,
R27,1.1KΩ,Two 2.2KΩ resistors in parallel,,,
R28,2.2KΩ,Red/red/red,,,
RA1,8 x 5.6KΩ,SIP-9 resistor array,,,
Q1,2SC1684,"C1684, NPN BJT",,,
C1,10nF,103 ceramic,,,
C2,100nF,104 ceramic,,,
C3,-,Not populated,,,
C4,330pF,331 ceramic,,,
C5,100pF,101 ceramic,,,
C6,100nF,104 ceramic,,,
C7,470pF,471 ceramic,,,
C8,10µF,16V electrolytic,,,
C9,47µF,16V electrolytic,,,
C10,10µF,16V electrolytic,,,
C11,10µF,16V electrolytic,,,
C12,470pF,471 ceramic,,,
C13,?,,,,
C14,220pF,221 ceramic,,,
C15,47nF,473 ceramic,,,
C16,-,Not populated,,,
C17,-,Not populated,,,
C18,-,Not populated,,,
C19,47nF,473 ceramic,,,
C20,-,Not populated,,,
C21,-,Not populated,,,
C22,47nF,473 ceramic,,,
C23,47nF,473 ceramic,,,
C24,47nF,473 ceramic,,,
C25,-,Not populated,,,
C26,-,Not populated,,,
C27,-,Not populated,,,
C28,47nF,473 ceramic,,,
C29,100µF,16V electrolytic,,,
C30,100µF,16V electrolytic,,,
C31,-,Not populated,,,
C32,-,Not populated,,,
C33,-,Not populated,,,
C34,-,Not populated,,,
C35,-,Not populated,,,
C36,-,Not populated,,,
C37,-,Not populated,,,
C38,-,Not populated,,,
C39,-,Not populated,,,
C40,-,Not populated,,,
C41,47nF,473 ceramic,,,
C42,47nF,473 ceramic,,,
C43,100µF,16V electrolytic,,,
C44,-,Not populated,,,
C45,-,Not populated,,,
C46,-,Not populated,,,
C47,-,Not populated,,,
C48,470pF,471 ceramic,,,
C49,47nF,473 ceramic,,,
X1,10.738MHz,,,,
J1,36-way edge,Cartridge,,,
J2,16-way TFC,Keyboard,,,
J3,DE9 male,Joystick,,,
J4,DIN-5 female,Cassette,,,
D1,1N4148,,,,
D2,1N4148,,,,
D3,1N4148,,,,
D4,1N4148,,,,
D5,1N4148,,,,
D6,1N4148,,,,
D7,1N4148,,,,
D8,1N4148,,,,
D9,1N4148,,,,
D10,1N4148,,,,
D11,1N4148,,,,
D12,1N4148,,,,
D13,1N4148,,,,
D14,1N4148,,,,
D15,1N4148,,,,
D16,1N4148,,,,
D17,?,,,,
D18,1N4148,,,,
