pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
31.115,88.265,-90.0,top,C1,,,C_Disc_D3.0mm_W2.0mm_P2.50mm,100nF,tht
31.115,64.81,90.0,top,C2,,,C_Disc_D3.0mm_W2.0mm_P2.50mm,100nF,tht
31.375,44.85,90.0,top,C3,,,C_Disc_D3.0mm_W2.0mm_P2.50mm,100nF,tht
31.375,24.53,90.0,top,C4,,,C_Disc_D3.0mm_W2.0mm_P2.50mm,100nF,tht
5.08,66.635,-90.0,top,C5,,,C_Disc_D3.0mm_W2.0mm_P2.50mm,100nF,tht
5.08,52.745,90.0,top,C6,,,C_Disc_D3.0mm_W2.0mm_P2.50mm,100nF,tht
5.08,28.595,90.0,top,C7,,,C_Disc_D3.0mm_W2.0mm_P2.50mm,100nF,tht
5.08,43.16,-90.0,top,C8,,,C_Disc_D3.0mm_W2.0mm_P2.50mm,100nF,tht
24.765,18.455,90.0,top,C9,,,CP_Radial_D5.0mm_P2.50mm,100µF,tht
13.595,81.68,-90.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10KΩ,tht
18.675,81.68,-90.0,top,R3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10KΩ,tht
23.755,81.68,-90.0,top,R4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10KΩ,tht
15.5,86.76,90.0,top,SW1,,,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W7.62mm_P2.54mm_LowProfile,SW_DIP_x04,tht
34.55,79.14,90.0,top,U1,,,DIP-28_W15.24mm_LongPads,27C512,tht
34.55,58.82,90.0,top,U2,,,DIP-28_W15.24mm_LongPads,27C512,tht
34.55,38.5,90.0,top,U3,,,DIP-28_W15.24mm_LongPads,27C512,tht
34.55,18.18,90.0,top,U4,,,DIP-28_W15.24mm_LongPads,27C512,tht
8.515,61.995,90.0,top,U5,,,DIP-16_W7.62mm_LongPads,74LS138,tht
11.055,49.93,90.0,top,U6,,,DIP-14_W7.62mm_LongPads,74LS32,tht
11.055,25.8,90.0,top,U7,,,DIP-14_W7.62mm_LongPads,74LS04,tht
11.001,37.945,90.0,top,U8,,,DIP-14_W7.62mm_LongPads,74LS08,tht
