Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
"C1, C2, C3, C4, C5, C6, C7, C8",8,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,,,,tht,
C9,1,100µF,CP_Radial_D5.0mm_P2.50mm,,,,tht,Polarized capacitor
J1,1,PYUUTA CART,BUS_36Pin,,,,tht,
"R2, R3, R4",3,10KΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,
SW1,1,SW_DIP_x04,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W7.62mm_P2.54mm_LowProfile,,,,tht,
"U1, U2, U3, U4",4,27C512,DIP-28_W15.24mm_LongPads,,,,tht,
U5,1,74LS138,DIP-16_W7.62mm_LongPads,,,,tht,
U6,1,74LS32,DIP-14_W7.62mm_LongPads,,,,tht,
U7,1,74LS04,DIP-14_W7.62mm_LongPads,,,,tht,
U8,1,74LS08,DIP-14_W7.62mm_LongPads,,,,tht,
